,CNMD_open,CNMD_high,CNMD_low,CNMD_close,CNMD_volume
2023-02-03,106.9400,111.1600,101.5000,102.6100,1208685
2023-02-02,100.5100,108.3750,100.2750,107.2700,1264352
2023-02-01,95.9100,100.3100,95.7350,99.2900,515635
2023-01-31,94.4700,95.9900,93.5057,95.7600,470090
2023-01-30,94.9900,96.3100,93.8400,93.9100,273805
2023-01-27,95.6000,96.6600,94.8050,95.9300,248853
2023-01-26,96.1900,96.5800,94.7600,96.1400,216508
2023-01-25,96.1600,96.5000,94.4700,95.7300,294415
2023-01-24,99.1500,99.1500,97.0950,97.6600,232589
2023-01-23,96.9600,99.4800,95.9200,98.9700,542777
2023-01-20,96.3000,96.6400,94.1400,96.6300,328924
2023-01-19,95.1100,97.2200,94.4800,95.8300,509929
2023-01-18,96.6500,99.3300,95.0100,95.7300,435794
2023-01-17,95.8000,96.1190,94.1350,96.0100,289631
2023-01-13,95.3100,96.9000,94.3900,95.9900,301379
2023-01-12,95.2500,95.7200,91.5750,95.6800,651907
2023-01-11,96.3200,96.6900,94.6700,94.9900,368556
2023-01-10,94.5000,97.3600,93.9800,95.6500,334873
2023-01-09,94.4200,95.9300,92.8400,95.1800,330587
2023-01-06,93.9000,95.1500,92.1200,93.4200,408950
2023-01-05,94.1700,94.1700,91.3600,93.1500,729722
2023-01-04,90.4800,94.6700,90.4500,94.3900,456120
2023-01-03,90.6600,92.0300,88.1100,89.7500,645795
2022-12-30,88.2000,89.2400,87.6650,88.6400,235426
2022-12-29,86.7900,89.8500,86.0600,89.1500,222185
2022-12-28,87.7700,88.4000,85.2200,85.5200,294908
2022-12-27,86.3700,87.6300,85.4100,87.1400,189738
2022-12-23,86.4000,87.6000,85.7739,86.8100,195577
2022-12-22,86.7800,87.1600,84.7050,86.4900,207833
2022-12-21,85.8700,88.1050,85.5000,87.7800,261950
2022-12-20,84.5300,85.8000,83.3800,84.9600,253069
2022-12-19,84.4100,85.4050,83.0547,84.7300,381325
2022-12-16,85.1300,86.0000,82.9700,84.9600,799568
2022-12-15,91.2500,91.8350,85.5500,86.2900,592556
2022-12-14,93.4700,95.4000,91.8300,93.1000,501935
2022-12-13,95.8300,97.4900,94.0100,94.0400,638075
2022-12-12,91.3400,92.6700,91.0700,92.5100,271140
2022-12-09,89.3100,91.7300,89.3100,91.1100,473421
2022-12-08,87.4900,89.8800,86.3200,89.8800,325503
2022-12-07,86.2100,87.1900,85.6750,87.0000,300083
2022-12-06,88.6700,88.6700,84.5100,85.8200,470386
2022-12-05,89.1000,91.1000,88.5600,89.0300,598826
2022-12-02,86.0200,90.4100,85.9950,90.2800,578024
2022-12-01,83.3700,88.0200,83.3700,87.4600,537362
2022-11-30,79.6500,82.9600,78.2000,82.8500,483818
2022-11-29,80.9800,81.4800,79.7200,79.7500,365289
2022-11-28,82.2100,83.7300,79.7900,80.9800,385916
2022-11-25,83.1800,83.7050,82.1000,83.1100,108202
2022-11-23,82.6600,84.8100,82.2800,83.1500,307798
2022-11-22,82.1500,83.0400,81.2400,82.0500,446568
2022-11-21,82.9900,84.0700,81.9700,82.1700,321194
2022-11-18,85.2400,85.4000,82.5950,84.0400,403762
2022-11-17,85.2300,86.3600,83.2600,83.6000,416888
2022-11-16,89.6500,89.9300,86.8500,87.0500,434892
2022-11-15,91.0500,91.9833,88.6100,90.0900,596077
2022-11-14,88.0500,90.2600,87.5400,89.0900,461599
2022-11-11,82.1300,89.0100,81.8850,89.0000,649486
2022-11-10,77.7300,81.6500,77.4300,81.1500,457317
2022-11-09,76.0900,76.6100,73.6400,73.8400,268770
2022-11-08,75.8100,77.7100,73.6600,76.8500,364087
2022-11-07,76.8200,76.8200,74.1150,75.4000,403572
2022-11-04,74.1400,76.0300,72.5400,75.9000,351058
2022-11-03,73.3000,74.4600,71.0900,72.8400,407809
2022-11-02,78.7600,79.6100,75.2800,75.3600,436976
2022-11-01,80.8700,80.8700,78.7800,79.0600,372946
2022-10-31,79.6800,80.1500,77.4200,79.7300,470234
2022-10-28,78.0800,81.5800,78.0800,80.1100,592418
2022-10-27,77.0000,80.2000,76.0000,77.8800,1181013
2022-10-26,81.5000,85.6400,81.2700,83.3900,716133
2022-10-25,77.9100,80.5400,77.9100,80.5000,227096
2022-10-24,78.0400,78.6300,76.3100,77.6900,277074
2022-10-21,76.5700,77.5100,74.0900,77.1700,311758
2022-10-20,78.6800,80.2100,76.6500,76.8600,194069
2022-10-19,79.7900,81.0200,77.9500,78.6800,295367
2022-10-18,81.0200,83.0350,80.1500,80.6600,406877
2022-10-17,77.7200,80.0100,77.7200,78.5900,316225
2022-10-14,78.2200,78.9800,75.9500,76.0700,364610
2022-10-13,73.5900,78.6600,73.0200,77.8600,275173
2022-10-12,76.3500,76.7200,73.2000,75.3400,567471
2022-10-11,75.9900,78.1400,74.2900,77.3200,347506
2022-10-10,79.8900,79.8900,75.4100,76.2600,411608
2022-10-07,80.6600,81.5200,79.0400,79.9300,406374
2022-10-06,83.5400,84.4050,81.6800,81.8200,252911
2022-10-05,83.6100,85.0700,81.6775,84.3700,285384
2022-10-04,83.3200,85.4600,82.7900,85.2300,586356
2022-10-03,81.1900,83.0900,79.8500,81.7100,216202
2022-09-30,82.1500,83.6600,80.0200,80.1700,393144
2022-09-29,79.7800,82.2300,78.8750,81.9900,342004
2022-09-28,78.5500,81.0600,77.2400,80.8200,411310
2022-09-27,80.9500,81.3700,77.0900,77.7800,522166
2022-09-26,81.8400,83.0600,79.8300,79.9100,290531
2022-09-23,81.9600,82.5200,80.1150,82.1000,330689
2022-09-22,86.3400,86.4000,83.0600,83.2500,333018
2022-09-21,88.8500,90.0850,86.2900,86.4700,171174
2022-09-20,88.5500,89.3100,86.9600,88.4300,191538
2022-09-19,89.6500,90.7000,86.8900,89.3000,463504
2022-09-16,91.4600,92.6000,89.4900,91.4900,657172
2022-09-15,93.0300,96.2250,92.3700,92.5900,399010
2022-09-14,94.1200,94.9150,92.6400,93.4800,364938
2022-09-13,96.5000,98.7300,94.4300,94.4500,569683
2022-09-12,98.9100,99.9800,97.8000,99.2500,420002
2022-09-09,94.0700,98.0200,93.8787,98.0100,289445
2022-09-08,89.5200,93.4200,89.5200,93.3700,302586
2022-09-07,86.0500,90.6300,86.0350,90.4800,391904
2022-09-06,87.9600,87.9600,85.6900,86.1700,216602
2022-09-02,88.8100,90.2600,87.2000,87.9600,345295
2022-09-01,87.8800,88.2900,86.0100,87.6500,586276
2022-08-31,89.9000,90.5800,88.3600,88.5700,330732
2022-08-30,91.1700,91.2100,89.1300,89.2200,517059
2022-08-29,91.5300,91.6900,90.0900,90.8600,241382
2022-08-26,96.1600,96.5900,91.8600,91.9000,217278
2022-08-25,96.4500,97.0400,95.7800,96.3700,222104
2022-08-24,92.1700,95.8700,92.0800,95.4600,266216
2022-08-23,94.3700,94.6600,92.8700,92.9200,282858
2022-08-22,97.0900,97.3500,94.5700,94.9300,330899
2022-08-19,100.0200,100.1150,96.6600,98.2600,251026
2022-08-18,101.4400,101.4400,99.3400,100.2800,177764
2022-08-17,102.4300,102.6950,101.1300,101.2500,264812
2022-08-16,102.2000,103.5700,100.9006,103.0400,209693
2022-08-15,102.6400,104.0600,102.0100,103.2100,239056
2022-08-12,101.4400,103.1600,100.4000,103.1500,261178
2022-08-11,102.1400,103.8500,99.9900,100.5400,226573
2022-08-10,99.4900,100.8500,98.1700,100.8500,325791
2022-08-09,99.9800,100.9900,96.8400,97.4000,290228
2022-08-08,97.2000,101.0200,97.2000,100.5100,274864
2022-08-05,95.6400,98.6000,95.6000,97.0100,351866
2022-08-04,100.5500,100.9400,96.1500,96.5300,366258
2022-08-03,99.0300,100.6000,98.4400,100.0700,325957
2022-08-02,98.0200,100.1400,96.1800,98.4600,546018
2022-08-01,96.1600,99.0100,95.5200,97.5700,363592
2022-07-29,99.2300,101.2100,97.0000,97.6300,410359
2022-07-28,99.1400,102.7000,98.6500,99.6200,663827
2022-07-27,103.3100,104.6600,102.1600,103.9200,387300
2022-07-26,102.4500,102.4500,100.3400,102.1500,511517
2022-07-25,102.7800,103.3700,101.5800,102.5700,458846
2022-07-22,102.5000,102.8645,100.6700,102.0600,244750
2022-07-21,100.0200,102.2500,99.2000,102.1500,232608
2022-07-20,98.3000,100.2700,97.6100,99.9400,241363
2022-07-19,96.5000,98.8950,95.9100,98.4700,348167
2022-07-18,96.4700,97.7900,94.9700,95.4900,258044
2022-07-15,95.8000,96.5500,93.4800,96.0800,291454
2022-07-14,92.9400,94.9300,92.3300,93.7000,252643
2022-07-13,91.2600,95.0000,90.6500,94.6500,407497
2022-07-12,92.4200,93.9000,91.7200,92.6900,460485
2022-07-11,94.5900,95.4200,92.0000,92.6600,303627
2022-07-08,96.6000,97.9050,95.1800,95.4000,455435
2022-07-07,94.3900,96.8000,94.0100,96.7100,297495
2022-07-06,96.9700,97.6665,93.5900,93.9600,460865
2022-07-05,94.8900,97.3700,93.0100,96.9800,833860
2022-07-01,95.2900,98.5700,93.8801,96.8900,613242
2022-06-30,99.5000,99.7300,94.4700,95.7600,1150426
2022-06-29,97.9100,100.9100,96.9300,100.0000,1147565
2022-06-28,98.0800,99.6900,96.8400,97.4900,1343387
2022-06-27,95.0100,97.7500,93.9900,97.3700,741194
2022-06-24,92.4700,94.1400,90.8100,94.0700,977797
2022-06-23,89.8500,91.6300,88.9450,91.2400,1098442
2022-06-22,88.5500,91.8800,87.2400,89.6700,692847
2022-06-21,90.7200,91.3500,88.5800,89.4100,644363
2022-06-17,88.9700,91.7100,88.3500,88.9300,553505
2022-06-16,92.0800,92.0800,87.6200,88.2300,554226
2022-06-15,93.2500,96.0700,92.4700,94.3000,336711
2022-06-14,96.8900,96.9400,92.3750,93.3600,298240
2022-06-13,99.7900,101.3300,95.7000,96.4900,439582
2022-06-10,101.5600,104.9150,99.7300,102.7300,747307
2022-06-09,108.2600,108.6200,103.0600,103.2300,348720
2022-06-08,110.3700,111.2500,108.0000,108.6200,806555
2022-06-07,110.5000,111.2300,109.6100,110.8200,298406
2022-06-06,112.0700,112.2400,108.6100,110.8500,454471
2022-06-03,115.0300,115.4800,110.5700,111.0600,546791
2022-06-02,112.9200,116.4100,112.2900,115.6500,2713560
2022-06-01,112.2200,116.3500,108.3900,111.7900,957277
2022-05-31,114.6300,117.3400,113.4900,116.2900,260736
2022-05-27,115.4900,117.1300,115.3500,115.9900,200727
2022-05-26,113.2100,116.0800,112.2400,115.6000,227645
2022-05-25,109.3700,112.7000,108.1700,112.0100,201987
2022-05-24,111.1200,111.1200,108.1962,109.8500,197000
2022-05-23,114.0900,114.8050,110.8400,112.3200,254255
2022-05-20,112.9900,112.9900,109.9200,112.4500,209197
2022-05-19,111.6100,112.9200,111.1600,111.7100,201021
2022-05-18,115.1600,117.1900,111.9100,112.6400,271738
2022-05-17,117.1300,118.7150,114.1100,117.6200,230345
2022-05-16,114.4700,118.0200,114.4700,115.2300,326517
2022-05-13,115.2700,117.5800,114.3400,115.8200,432905
2022-05-12,110.8700,113.9700,110.6900,113.7200,339195
2022-05-11,109.5100,113.0800,107.1400,111.7500,680403
2022-05-10,110.3500,111.9900,107.0800,109.3100,404219
2022-05-09,114.7100,114.7100,108.0700,108.5900,435302
2022-05-06,121.6000,123.3700,116.0100,116.9700,425496
2022-05-05,137.4300,138.5900,122.0900,122.9500,692048
2022-05-04,134.9400,140.2100,133.1700,139.4300,253384
2022-05-03,133.8100,136.5200,133.0800,134.3700,225750
2022-05-02,132.9300,134.5000,131.2700,134.0400,262160
2022-04-29,135.1000,135.9400,132.0400,132.9600,268777
2022-04-28,140.6300,140.6300,135.5000,136.4000,348631
2022-04-27,138.5700,140.7950,137.9600,139.0000,185728
2022-04-26,142.3200,143.1250,139.0400,139.6700,179716
2022-04-25,140.2800,145.6250,140.2800,144.7400,327823
2022-04-22,148.9200,150.2100,140.1100,140.8600,507521
2022-04-21,155.3500,155.5100,150.3800,150.7500,273321
2022-04-20,150.6500,155.0000,150.6500,154.1800,458785
2022-04-19,142.1300,151.7100,142.1300,149.7700,306277
2022-04-18,143.2200,144.9600,141.7100,142.7300,193091
2022-04-14,147.1100,147.9000,143.8500,144.1300,267933
2022-04-13,146.0800,148.4200,145.7300,147.0200,157550
2022-04-12,143.7900,146.8800,143.5700,145.8200,185251
2022-04-11,144.8300,145.3532,143.0600,143.2300,177358
2022-04-08,146.3500,147.5300,144.9900,145.3300,175859
2022-04-07,144.7600,147.9700,143.8550,147.9300,248887
2022-04-06,143.3800,145.7800,141.8500,145.2200,204179
2022-04-05,147.0800,148.3900,144.9400,145.0300,110514
2022-04-04,150.1100,150.1100,144.4270,146.3100,260300
2022-04-01,149.4900,152.1500,148.1000,149.8000,324618
2022-03-31,149.3900,151.4900,148.2600,148.5500,187431
2022-03-30,148.9800,150.6800,148.4000,149.4500,129898
2022-03-29,149.6000,150.9800,148.6000,149.9000,178726
2022-03-28,144.4000,147.8700,144.1400,147.7500,294322
2022-03-25,144.0300,144.7500,142.9100,144.6700,156103
2022-03-24,139.3700,143.8300,139.1584,142.7800,196923
2022-03-23,141.6700,141.6700,138.3950,138.8900,192143
2022-03-22,143.3200,145.5200,141.7600,142.9600,244528
2022-03-21,144.8800,145.0300,142.1200,143.1000,200894
2022-03-18,146.7600,146.7600,142.6500,145.2100,451671
2022-03-17,140.8400,145.3600,140.5500,145.2300,277539
2022-03-16,139.4300,142.0300,138.6200,141.8000,351784
2022-03-15,137.3500,139.4150,135.7300,138.4200,209915
2022-03-14,138.4400,140.0000,134.4400,136.0400,371380
2022-03-11,137.5100,139.8400,137.2100,138.0900,229544
2022-03-10,134.0700,138.0300,133.7900,137.4400,175056
2022-03-09,138.0300,139.3700,135.9800,136.1800,160526
2022-03-08,140.0000,140.6000,135.2700,135.4200,253256
2022-03-07,142.2100,142.2100,138.7700,140.2700,266370
2022-03-04,141.7700,143.7700,141.7100,142.8100,189268
2022-03-03,145.4200,145.4200,142.2100,143.6900,185331
2022-03-02,144.9200,146.4950,142.8800,143.6300,300698
2022-03-01,145.3500,147.5800,142.9650,144.5500,219892
2022-02-28,147.8200,148.0500,144.1900,146.1600,298391
2022-02-25,148.3600,150.5400,145.4800,148.3000,290040
2022-02-24,138.8400,148.7000,138.8400,148.2300,540863
2022-02-23,143.7200,143.8000,141.2600,141.9000,173696
2022-02-22,139.5400,143.0000,139.5400,141.9300,168530
2022-02-18,138.8400,140.8450,138.2500,139.4000,264857
2022-02-17,142.4200,143.1200,138.7400,139.3700,184520
2022-02-16,141.7700,144.9100,139.9600,144.1000,221004
2022-02-15,141.0500,144.1800,141.0500,142.9500,199908
2022-02-14,139.6800,142.7300,138.2800,139.1400,232779
2022-02-11,142.0000,143.0100,138.8100,140.0300,204582
2022-02-10,138.9700,143.7150,138.9700,140.8100,210437
2022-02-09,140.9900,143.0200,140.2500,141.7000,190856
2022-02-08,135.4500,139.3000,134.7300,138.9000,210695
2022-02-07,137.6100,139.4500,134.3900,136.1000,319915
2022-02-04,136.9200,140.6800,135.8600,139.0300,171457
2022-02-03,136.7200,139.1725,136.4400,137.6600,214980
2022-02-02,138.7400,139.1200,134.1150,139.0300,229568
2022-02-01,137.1300,140.0000,136.3100,139.3200,347558
2022-01-31,133.9600,138.0400,132.6600,137.5800,414413
2022-01-28,129.0000,135.1800,126.6700,135.1200,396905
2022-01-27,130.3300,132.8100,125.5000,130.0500,641898
2022-01-26,126.0300,126.2000,119.3500,121.8800,243651
2022-01-25,122.5800,125.2200,118.6800,123.9900,277213
2022-01-24,121.5600,125.6800,117.6200,125.0700,506152
2022-01-21,124.8900,126.5900,121.3400,124.4100,499009
2022-01-20,131.0000,134.3200,126.7500,127.2900,429965
2022-01-19,132.7000,135.0350,130.1600,130.3500,260758
2022-01-18,133.3400,133.4600,131.4900,132.5300,186445
2022-01-14,134.4800,136.4600,132.2650,135.2400,145192
2022-01-13,138.1700,138.7500,135.6700,136.5300,130285
2022-01-12,137.4200,138.8200,136.0400,136.8400,195110
2022-01-11,133.0200,138.2300,131.3900,136.3200,292824
2022-01-10,140.5000,140.5300,130.8600,133.4500,736487
2022-01-07,144.5000,145.4800,142.5450,142.9300,104179
2022-01-06,146.0400,147.3500,143.4900,145.4000,173081
2022-01-05,150.3600,151.7091,145.9700,146.0600,251391
2022-01-04,145.9900,150.8900,145.9900,150.0000,341060
2022-01-03,141.8900,145.8600,139.6600,145.8600,162997
2021-12-31,143.0200,143.7700,141.4900,141.7600,111493
2021-12-30,143.5600,145.4700,143.1300,143.3200,83429
2021-12-29,142.9500,144.3600,142.1600,143.9200,121720
2021-12-28,142.9500,144.4600,142.5600,143.3200,82447
2021-12-27,142.9500,144.0250,142.1550,143.4000,110544
2021-12-23,141.1300,143.1300,140.5600,142.0200,124632
